sa2_name_2011,Unemployment_rate,Unemployment,Labour_force
ACT - South West,1.8,42,"2,315"
ACT - East,15.2,76,500
Hume,0.6,1,158
Majura,1.9,3,157
Amaroo,2.9,97,"3,324"
Bonner,3.7,108,"2,936"
Casey,2.7,70,"2,592"
Crace,1.6,38,"2,331"
Forde,2.1,48,"2,326"
Franklin,3.2,117,"3,666"
Gungahlin,4.1,148,"3,575"
Hall,0.5,1,213
Harrison,2.0,96,"4,789"
Ngunnawal,4.2,246,"5,829"
Nicholls,1.8,71,"3,932"
Palmerston,4.1,140,"3,414"
Acton,2.5,25,993
Ainslie,4.4,125,"2,867"
Braddon,3.4,131,"3,854"
Campbell,1.4,47,"3,479"
Civic,4.9,109,"2,241"
Dickson,6.1,76,"1,249"
Downer,5.1,101,"1,991"
Hackett,3.1,47,"1,525"
Lyneham,5.3,151,"2,831"
O'Connor (ACT),3.3,105,"3,196"
Reid,6.7,66,990
Turner,3.8,105,"2,737"
Watson,4.3,146,"3,409"
Deakin,2.0,28,"1,369"
Forrest,0.3,3,989
Griffith (ACT),3.1,80,"2,572"
Kingston - Barton,1.3,50,"3,893"
Narrabundah,5.1,163,"3,211"
Red Hill (ACT),3.1,50,"1,607"
Yarralumla,1.4,21,"1,469"
Banks,3.4,98,"2,902"
Bonython,4.8,112,"2,322"
Calwell,2.9,102,"3,511"
Chisholm,4.3,130,"3,033"
Conder,2.8,86,"3,121"
Fadden,1.0,18,"1,852"
Gilmore,4.7,77,"1,639"
Gordon (ACT),4.1,190,"4,670"
Gowrie (ACT),3.6,62,"1,708"
Greenway,4.2,45,"1,060"
Isabella Plains,3.6,90,"2,531"
Kambah,4.7,393,"8,448"
Macarthur,1.4,13,931
Monash,2.5,77,"3,121"
Oxley (ACT),5.5,58,"1,060"
Richardson,5.4,94,"1,726"
Theodore,4.2,99,"2,352"
Wanniassa,4.6,195,"4,268"
Chapman,0.8,11,"1,438"
Duffy,3.4,57,"1,667"
Fisher,2.8,43,"1,540"
Holder,2.5,36,"1,419"
Rivett,4.3,70,"1,610"
Stirling,4.2,44,"1,043"
Waramanga,4.6,58,"1,269"
Weston,2.9,47,"1,632"
Chifley,3.9,55,"1,407"
Curtin,2.0,57,"2,819"
Farrer,2.0,36,"1,785"
Garran,1.3,23,"1,803"
Hughes,3.1,44,"1,435"
Isaacs,2.5,30,"1,187"
Lyons (ACT),5.9,95,"1,597"
Mawson,2.8,50,"1,797"
O'Malley,0.7,3,457
Pearce,1.8,24,"1,316"
Phillip,5.6,87,"1,555"
Torrens,3.3,38,"1,157"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
